x,y,z,coerencia_local,spin_vetorial,entropia_POS,harmonico_dominante
-378.03535656867564,470.1420876077716,858.7519782551715,0.9185,↻,0.349,1
-349.63335594650596,606.9618607696971,113.52578602785957,0.8486,↻,0.075,2
459.21235667612814,-435.930854857387,143.2253789397996,0.9065,↓,0.77,3
275.11494271042625,-645.1209124405543,-440.0418126794317,0.8304,↓,1.762,2
774.425485152653,501.2295032817167,538.9858663838738,0.7739,↺,0.505,5
-55.57014967610144,613.669478534528,-625.9125028849533,0.9457,↻,1.684,1
-760.8115081233966,981.0102840013467,-352.64152719151264,0.9398,↻,2.425,3
426.48957444599,-174.76464617714703,-149.1271227671665,0.9084,↑,0.235,1
521.570097233795,-255.9638284144337,15.220757368910085,0.7816,↺,1.682,3
122.5543951389925,552.8259214839936,-515.1805351698395,0.8771,↺,1.109,5
541.9343599091219,-318.3929194939643,-770.326350521593,0.8083,↑,2.17,1
-12.408807271218507,861.5146512071294,221.24008488326513,0.7275,↺,0.443,4
45.46565876398813,716.8255036860237,-422.73889351948844,0.9752,↺,1.732,3
-144.9179632829007,-142.01194524996333,162.47644284522448,0.741,↓,2.095,4
-949.1617465118096,501.7421355829947,-691.2745694515954,0.9851,↻,2.362,1
-784.2171460133911,509.0857481693647,-37.719796290365025,0.8338,↺,1.708,4
-937.1416286265315,-793.7522623281347,65.1788651031718,0.7555,↓,1.243,4
272.8208225275607,805.1058133591334,-896.3529263551462,0.8626,↻,1.545,1
-371.2880378473467,10.504744895714339,-326.7914436121588,0.9619,↑,2.172,5
17.141382329405587,652.9149322154833,-731.1706461220515,0.9197,↓,1.427,4
815.1329478521861,-359.90079793877646,-873.2500590544645,0.942,↓,0.076,4
-501.4155417022501,791.0464569924009,979.9204647798904,0.8976,↻,2.327,5
-179.2341539287405,-221.59664253167375,-355.2923100505541,0.9077,↑,1.724,4
511.1022770860973,-978.3246970394033,619.7488917092696,0.9548,↓,1.691,4
-542.4036690167551,810.7639528385273,-490.7186904724723,0.7749,↺,0.539,4
-846.040180342414,-817.4266464277329,363.0054444478585,0.8468,↺,1.647,2
-420.4970941724639,-361.37272481917023,520.4557197793731,0.7664,↺,0.985,5
-677.5574254919911,900.1239341016098,191.27748121568857,0.9963,↑,1.628,4
859.3953046851461,901.2142938751122,-56.8476228996833,0.9832,↓,0.266,5
616.2407591288338,146.8757762465723,-176.318171705463,0.7118,↺,1.645,3
266.80751302084695,263.67442433959854,-302.2634669140094,0.9117,↑,2.499,3
742.9211803754354,-103.10895604336042,859.0582884956516,0.9776,↺,0.121,4
607.344153798229,-413.5784566038709,661.2388155754584,0.7542,↻,2.443,5
-626.8598822279283,-342.67090926016806,930.0538213330251,0.8704,↓,1.017,5
785.1179969799555,345.03691215407684,-751.4055530289105,0.9746,↓,2.177,5
78.68448383130135,504.7490588753601,461.7349504072886,0.7102,↑,1.956,2
614.880310328125,583.1580874516972,876.6809136420757,0.9092,↑,1.418,3
792.1825998469865,579.2362855891079,-637.5338676686797,0.7892,↓,1.846,5
-363.9930500562723,-817.5877939026193,-867.007465266445,0.9773,↺,2.196,5
-779.8961509446465,-11.159390594837078,482.24129858011815,0.9913,↺,1.01,2
-544.1296749161166,-884.8824799667115,148.94622635982387,0.9833,↻,0.818,2
-145.78442274748738,99.057764647471,683.6575535165441,0.8423,↺,1.669,5
636.0295318449862,-116.93899725324593,-720.455246747421,0.9586,↑,2.02,1
721.461166512687,775.4083655165996,590.5346237197805,0.9534,↑,1.906,5
-986.0957389376186,-298.16997489584264,-596.7453599045109,0.7957,↺,1.995,5
21.494605155131467,-765.8659671447883,-672.688114268591,0.9487,↑,1.089,2
-165.177993702442,-714.0166358943283,-671.4684041380142,0.7111,↓,2.045,2
-555.7843790585396,523.0212634349446,629.1494404627642,0.8789,↓,0.301,5
-760.2692653326344,236.43612663252202,330.39444139240027,0.769,↺,1.361,5
-324.76965719274403,-797.7546477544195,46.130849538238635,0.7362,↓,0.014,5
885.8194078250383,-831.7863877700051,-282.33903175299497,0.7231,↓,0.811,2
-353.5941359584896,401.93826291824007,754.4010816262166,0.9089,↻,0.916,5
37.58124348673209,-854.4739872716129,-215.10978515472925,0.802,↻,0.99,5
406.0379177903558,643.7201185807123,633.1988789431541,0.9174,↓,1.739,4
-272.740795241412,412.4844543129925,-121.73018285956312,0.7196,↺,0.971,1
943.5641654419214,-837.3024387162004,-246.11114115018484,0.7946,↻,1.122,3
924.8945898842226,-830.3245718296162,-74.64042866078717,0.8618,↑,0.594,1
-496.4354083492717,973.279157002351,-397.2442516717158,0.9372,↑,0.933,4
-5.502988215229152,-251.45840848775936,495.21876035250216,0.7956,↑,0.568,3
-398.24338036646066,-258.7157058662182,5.440780184958271,0.8878,↺,0.183,5
-430.31901124506476,625.5991345150051,-535.5746097063654,0.9658,↓,1.509,4
-926.2261052909344,894.4971547677173,799.149146549137,0.8848,↑,1.671,5
219.1286679597938,972.0021276457419,-232.21755725357718,0.7699,↺,1.549,2
5.358046457722935,506.75637051788317,87.10572222797714,0.7073,↻,1.159,4
-897.0424975000213,-247.48082893816843,812.9442219290938,0.961,↓,0.949,2
-442.7070715267771,-832.9985666026624,248.47599182798422,0.7064,↻,2.158,4
816.5317719333075,554.2938318548736,-766.2039185832718,0.9624,↺,1.298,4
-520.8762186660551,116.80849947161005,879.6642472269502,0.8587,↑,1.198,2
-710.2102558175538,-151.5559815060475,255.41610614283582,0.9817,↑,0.064,3
-21.09447944487397,812.708770189472,-330.18877068582776,0.9396,↺,0.853,1
971.3009082212013,-777.6050353876973,-721.4558546732255,0.9994,↑,0.95,5
-515.8894569769991,-14.749791418281688,588.050378540592,0.8052,↓,0.997,4
344.27109481175717,-977.2927104651619,240.14551185702703,0.9302,↺,1.45,5
523.2392306574352,-62.6787160117475,66.92218395264308,0.8206,↻,1.334,2
-524.7249120152007,-887.3934486363253,787.7851661019154,0.844,↺,1.52,5
456.43269722371906,-762.3641674638561,577.1944224490614,0.8883,↓,1.912,2
-264.43373456149357,-764.9475064457902,-696.6502405344977,0.9621,↓,2.032,5
264.6116611871589,298.42060423212706,-376.5558644089035,0.9952,↺,1.795,1
267.0594215217893,492.08975853084667,-503.0217203710685,0.9305,↺,2.389,1
71.54936814951702,166.73753019431933,487.8925851453539,0.8253,↑,0.046,1
-819.4204598911833,924.3450969490839,-932.9351305284413,0.8264,↓,0.489,1
670.604991178476,-250.25884095259187,139.77936974263298,0.9213,↺,0.019,1
-358.4398700565283,-428.5758274362786,524.917371481381,0.7716,↺,1.619,1
-626.9629792002916,737.1982563789206,753.5312735234988,0.7331,↓,2.245,2
-918.4497168904721,-552.8083229610947,-315.8365025681851,0.8064,↺,0.609,4
181.78588637648363,926.4450788812226,642.5146093440258,0.7862,↑,2.318,5
355.1287236845649,-975.6910506203673,-778.7365260895856,0.7889,↓,0.151,1
-966.8243421442877,939.7576534152781,692.9045834690364,0.7701,↑,2.336,2
24.186116598561966,-913.6801760988478,-745.0226753360351,0.7126,↑,0.879,2
-547.008449604124,782.2862273961421,-205.4254188792654,0.7054,↑,0.254,2
290.34558081889963,55.40221817259976,594.5907315591073,0.9963,↑,1.215,4
-651.2671419900171,985.9295922386007,-700.1651453024524,0.8283,↓,0.642,5
381.87547620493183,-852.4068705292023,-541.4972095347171,0.8153,↑,0.712,4
-226.5293073989252,107.7085688026416,444.50513678613265,0.9039,↑,0.768,3
873.459977473469,938.605071238198,440.07307309214866,0.7655,↺,2.008,2
-724.9581117080136,46.19568834029769,282.2952657705946,0.985,↓,1.348,3
-317.867297899483,258.7972762705251,387.8968889342,0.9359,↓,0.778,1
-773.0529575188218,391.4973779692343,85.44888669519241,0.7268,↻,1.526,1
849.3872365571256,-90.91787046445359,-496.4018821860945,0.8253,↓,1.79,4
754.6787067619621,255.11616016812695,-308.6080129921611,0.9637,↓,0.682,5
-484.11674456968876,168.62862384620053,-636.8045663971486,0.9834,↻,1.034,3
319.96809206835815,802.316020981978,816.9011226672567,0.8402,↓,0.305,5
634.4444004024317,-909.1072393170842,166.78358953224097,0.884,↓,0.453,4
110.40162319892465,-438.07362081553936,-198.29716647272016,0.7501,↓,1.703,1
59.301156712012926,900.8229681531175,-75.9883927117346,0.9974,↓,0.454,5
-516.2954181990966,780.5275677818327,894.5666792236307,0.7695,↻,1.313,5
-813.7944643882016,-88.68649442857418,-693.2971937678396,0.9828,↓,1.773,1
794.4315159066534,240.26519560307338,172.45966403359444,0.8949,↓,0.267,3
800.8361143266609,-445.23763403773467,11.777357768932006,0.8823,↻,1.418,1
266.2029145465358,-623.7576805524774,222.90847086929557,0.8538,↺,0.641,5
-321.9404179025986,-72.60319012003572,-963.779632358319,0.7692,↑,2.407,3
-301.5808507746782,-293.2955439478943,744.247817888303,0.753,↺,1.209,3
451.9113577404787,167.3122237017442,864.2365649672247,0.7661,↻,2.015,1
794.2205199051541,-844.5307260700304,130.2663671784178,0.7559,↑,1.376,5
774.1728485302347,948.7896153323329,393.30164775378444,0.9339,↻,0.109,4
559.7510917152476,972.4214889592058,844.9987623545915,0.805,↻,1.583,5
284.06329230857546,396.3234280394902,414.47726862679724,0.7174,↓,2.379,2
-831.7200700099023,72.19273268824077,-694.9219141714773,0.9907,↑,1.504,4
-676.7425718107725,-380.94476742734446,152.57672033362633,0.9651,↓,2.048,3
797.1083770541584,627.5900394138973,213.43009276571183,0.9783,↑,2.211,4
212.85811931917988,369.46234510775844,-151.73865739522796,0.9985,↻,0.57,3
-981.6058967667407,-674.7661213102174,472.88847124944573,0.7522,↻,0.53,3
-797.0569142679358,821.8543689876849,868.7340295380297,0.8189,↺,1.527,4
327.00353821611156,645.0744858463379,851.1370258135526,0.9275,↑,1.028,3
-989.8768323075626,899.599826583848,-98.32125719173575,0.9088,↓,2.1,3
-678.3838971650027,451.4390167767199,-773.5239083184895,0.7462,↺,2.25,2
97.46757873317233,226.83039187157965,969.6823979246692,0.9447,↺,0.884,5
383.79039538538655,-163.51392741876225,677.7961728918683,0.7673,↺,0.592,5
303.92251900520114,865.4569667080266,-750.6746375934663,0.7671,↓,1.951,2
-551.4613810788804,732.1277790008166,841.6837652347447,0.8611,↺,0.687,4
424.35844269507174,-909.5626597876212,739.7927241242567,0.8779,↓,2.057,1
-525.5018250063999,-947.266051005496,37.676114252144316,0.874,↺,1.059,1
-349.2006036814646,-247.07326624390078,182.55087148985854,0.7274,↓,1.669,1
492.9828102360482,621.1066615636657,-201.99459225973953,0.9632,↻,0.239,2
299.26579809442933,974.5522586298889,-890.4767223559373,0.7797,↻,1.56,2
698.446820988356,-699.1662177929436,-329.60551670819814,0.7389,↻,1.129,3
315.22578460068667,188.2614307042702,605.706897196023,0.9666,↻,1.467,1
136.61720667094323,-238.218286737957,-990.7359539907943,0.9867,↻,0.42,4
-812.6504643438151,939.8287956292063,-333.00165661771166,0.9586,↺,1.842,4
-264.5683938811329,684.2378462714173,-203.66261281811342,0.9429,↺,2.157,1
-469.59526463654913,676.6574094222758,74.79120587584566,0.8966,↺,0.542,1
-512.0207132418328,-62.61368041005949,839.7112328255209,0.8653,↓,0.239,1
946.0211095048912,-170.3609953246696,-307.3080112680775,0.7261,↓,0.059,2
-213.80455066647914,-453.1858561385875,-306.0935962075446,0.8225,↓,1.605,2
784.0931103542266,-887.2490066981458,475.00249621949683,0.8118,↓,1.518,2
262.27725199452584,729.4447525101064,-95.5641182203857,0.7779,↻,1.367,5
589.6226070832968,625.8020182601551,-550.790354120036,0.917,↻,0.58,4
5.274186210384187,999.4353465722611,-95.12096773461326,0.8488,↻,0.977,4
153.80776925271812,993.2736741478107,-718.2859592404003,0.7243,↑,1.486,3
-14.964612362272192,110.8634112052548,-647.2260269875534,0.7661,↺,1.242,2
-609.514024403911,537.9748303610211,-3.264454521040534,0.905,↓,2.469,5
444.9042305230107,889.531459764856,-162.14910099090423,0.7228,↓,0.341,5
-438.45527511828845,699.2947813548228,829.6918021362001,0.9554,↻,1.738,4
-951.3680671370923,-505.3037965136047,-275.21220176673376,0.8485,↓,1.011,2
290.9445918143356,-98.91172937981298,161.17670055608687,0.8442,↓,1.07,3
-645.7786411859022,-741.6811696970101,264.52857583906075,0.8777,↺,1.794,2
880.9171687058285,908.1020545174447,-973.8110868233327,0.9474,↻,1.731,1
907.8571540051748,212.34926890176007,327.0747440334212,0.8043,↺,2.478,2
829.728780440897,-542.7143889930746,-643.9280662604972,0.9034,↑,0.321,1
-259.6825994891112,343.4013688117134,922.1406349389104,0.8697,↑,0.26,1
-969.0867669422652,236.2564809157916,-702.6745444937741,0.7801,↑,1.811,3
856.6371251754508,-283.67456393431905,-170.7517525459525,0.9636,↻,1.446,4
-143.63170336537132,-772.884815600742,-829.3006638427123,0.9392,↓,0.685,2
933.3096380873392,343.1463911855992,993.7485036918947,0.8975,↻,0.199,1
927.2399541785057,40.61540180758652,4.390020662485199,0.9552,↻,0.214,2
706.0189109347202,544.6367834712787,190.7700346400875,0.9602,↓,2.235,4
-411.10221586082866,40.32700222398671,-865.8470452231451,0.9125,↺,0.48,4
-229.80454279614946,704.3630006370802,499.92094079835556,0.9511,↑,0.808,5
702.2733430337139,103.8136775489711,-580.1888138088284,0.9092,↺,0.567,4
-366.1559896874446,121.87594307077256,796.1085788814275,0.904,↑,0.887,3
-661.0145066278151,753.30720531669,-589.7207190359857,0.8856,↻,0.174,1
113.6025249167003,-193.03426757520594,-618.6245586726668,0.9258,↑,1.298,5
872.309548321562,-731.9695430987185,-926.9006643038102,0.7476,↻,0.169,3
392.059593349946,-942.434647373322,-55.866109780001466,0.9643,↺,2.001,2
140.12234017872993,510.2745113472381,129.68226652523276,0.9616,↻,0.584,1
-805.647012458463,240.61910270692943,-868.5827211432952,0.7088,↺,1.35,4
230.01445339833958,408.1595361984471,551.0552333900212,0.9477,↓,2.2,1
980.1077002085265,-574.0716769821786,-93.42233050394475,0.7387,↓,1.627,2
-719.831969526952,-727.2570488264605,48.78053865516017,0.8005,↓,1.332,5
36.659304727473454,-970.9106686642361,-118.47450612354373,0.9231,↻,0.811,5
754.746143855911,-298.82488238680605,-198.473878249348,0.7482,↓,0.833,5
481.5372355084089,179.83537370926615,119.28066261643585,0.9454,↑,1.674,4
394.0314819905359,-215.51190980053536,-689.519508138575,0.9496,↺,2.485,3
404.96816797421843,-125.0501559525419,-636.1437390094577,0.8522,↺,1.655,3
-281.01769756048964,808.3173889874968,723.5712420270347,0.7019,↑,1.394,1
-412.81631147101325,-303.4890659533993,892.2309242672654,0.7861,↻,1.827,4
618.7223109570273,27.978978319621547,-253.38136744049416,0.8851,↻,1.163,5
620.2267893583614,567.3060254822863,-458.51065371289246,0.9944,↺,0.15,5
734.1446371602074,-206.91443535745964,287.9990864780316,0.8895,↓,1.406,2
826.4811051129425,244.17340045574701,-182.5316578038072,0.7779,↻,2.394,2
22.68479772187561,724.7274174934903,-949.2272886793103,0.8902,↻,0.438,5
3.0325893743992083,899.0412473152842,-687.6948052676194,0.862,↑,1.725,5
596.5903579335504,-705.8530381419241,431.9444576947951,0.934,↑,0.502,4
299.9278615555304,853.1752503229889,317.84788382030274,0.7321,↓,1.34,3
403.9337545154067,-15.76741384092361,-945.808014993033,0.9283,↻,0.242,2
591.5853388722021,-483.51122340208326,-556.0556761341011,0.8624,↻,1.126,3
780.0106836351326,-81.72848752347738,-537.8504068238572,0.9889,↑,1.89,4
-324.0096862969284,960.0651505709541,343.78548719745686,0.8026,↻,0.869,5
-248.83409472011192,-14.763812014260793,-960.5789244912717,0.8898,↺,1.662,3
-812.036120318262,-342.49677942498363,-791.7828360308523,0.9796,↑,1.989,5
156.56028199234788,266.80170863345165,599.8321707463788,0.7308,↓,2.318,5
-928.1154524065158,-519.7087624436139,-642.9106758913327,0.9812,↑,0.587,1
-68.80396373507972,-848.2733437826721,305.4922157037495,0.9064,↻,0.998,3
85.28926941515329,-742.2405561787016,-523.634437906547,0.7204,↓,0.381,3
-426.91749574343123,-743.9083220844551,-801.1172144813097,0.7903,↑,2.481,5
181.6665211380216,-696.1946129754112,-513.6556180010919,0.9125,↺,2.318,4
-938.9995001219012,-722.3456547011797,444.5338637113184,0.7202,↺,1.35,1
-925.3036225015712,281.7494896064293,711.3929362125714,0.8747,↑,2.105,5
645.2011213193166,-636.2398312017103,660.4397291339833,0.8038,↺,1.302,2
-279.6187171774742,-308.66543335227357,-205.63294076309035,0.8863,↺,1.559,2
-745.8789746962304,793.5768198120236,336.1702731412922,0.7137,↺,0.223,1
44.48652010960882,-52.07671947425524,-590.0314091683581,0.9615,↓,1.888,4
539.9871061972217,335.1154770420544,-413.7045394779735,0.992,↺,0.319,5
-568.3579450063137,-655.3602575967403,792.6716370422396,0.9907,↺,2.065,3
245.7809516380005,-615.4219623826584,-973.9961529785279,0.9249,↺,1.955,1
-829.3050700124641,-918.2627674670423,-828.9829382910639,0.739,↓,1.772,4
